Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,AirQuality_Class
6/4/2004,14:00:00,-200.0,927,-200,8.1,905,-200,1016,-200,1554,711,27.0,29.6,1.0419,0
8/4/2004,14:00:00,-200.0,944,-200,6.0,814,-200,852,-200,1489,554,37.2,23.6,1.4764,0
12/31/2004,20:00:00,-200.0,962,-200,5.3,780,-200,919,-200,909,884,9.6,32.3,0.3871,0
11/22/2004,7:00:00,0.4,988,-200,6.8,850,333,861,149,1030,1133,4.5,54.8,0.466,0
7/27/2004,9:00:00,-200.0,991,-200,9.1,944,116,765,104,1608,868,26.2,38.5,1.2932,0
7/27/2004,8:00:00,-200.0,1041,-200,9.6,962,119,728,102,1694,936,24.6,45.1,1.3714,0
11/9/2004,14:00:00,-200.0,1094,-200,14.8,1144,-200,669,-200,1327,1209,12.5,42.8,0.6177,0
9/12/2004,6:00:00,-200.0,903,-200,2.5,619,-200,1111,-200,1315,705,21.7,55.4,1.4192,0
10/14/2004,16:00:00,-200.0,1099,-200,10.4,993,-200,711,-200,1507,1129,21.5,46.7,1.1837,0
8/21/2004,18:00:00,-200.0,883,-200,5.4,782,-200,958,-200,1395,571,27.3,31.0,1.111,0
8/14/2004,3:00:00,0.4,802,-200,1.7,559,-200,1232,-200,1414,478,25.0,56.0,1.7428,0
10/17/2004,17:00:00,-200.0,1053,-200,12.7,1072,-200,733,-200,1495,832,20.9,40.3,0.9866,0
6/2/2004,12:00:00,-200.0,978,-200,7.4,873,80,1003,53,1669,788,28.9,34.8,1.3603,0
6/12/2004,4:00:00,0.5,853,-200,4.1,716,45,1047,58,1414,707,20.8,40.2,0.9725,0
8/20/2004,9:00:00,-200.0,1091,-200,8.6,925,-200,701,-200,1753,1058,29.7,50.5,2.0767,0
10/18/2004,22:00:00,-200.0,995,-200,8.0,898,-200,761,-200,1409,1023,17.5,63.5,1.2622,0
1/23/2005,17:00:00,-200.0,1045,-200,3.7,694,168,911,124,1025,805,7.1,66.0,0.6678,0
5/10/2004,6:00:00,-200.0,1118,-200,9.8,970,-200,837,-200,1705,1019,13.4,67.4,1.0292,0
8/5/2004,16:00:00,-200.0,1067,-200,7.0,855,90,748,102,1700,811,23.9,69.1,2.0202,0
12/31/2004,3:00:00,-200.0,783,-200,1.2,522,-200,1241,-200,832,458,7.6,46.4,0.4869,0
7/19/2004,0:00:00,0.5,976,-200,6.0,814,66,855,77,1448,1018,28.0,30.6,1.1396,0
10/12/2004,14:00:00,-200.0,929,-200,7.4,875,-200,826,-200,1365,814,18.9,50.6,1.0927,0
5/19/2004,4:00:00,-200.0,846,-200,2.2,598,33,1211,52,1332,669,16.3,51.4,0.9468,0
6/2/2004,19:00:00,-200.0,1223,-200,14.8,1142,145,778,88,1965,1084,26.2,46.4,1.5573,0
9/9/2004,4:00:00,0.2,806,-200,2.3,605,74,1366,68,1132,725,21.4,35.7,0.8982,0
12/21/2004,2:00:00,0.5,691,-200,0.7,471,63,1552,53,698,357,5.6,37.7,0.3444,0
10/31/2004,6:00:00,0.4,791,-200,1.2,519,43,1291,31,1295,540,18.1,79.0,1.6224,0
6/2/2004,13:00:00,-200.0,887,-200,4.7,748,36,1141,34,1560,596,29.6,33.4,1.3581,0
10/18/2004,14:00:00,-200.0,1288,-200,18.5,1253,-200,537,-200,1763,1410,19.9,55.4,1.2702,0
8/17/2004,21:00:00,-200.0,1109,-200,9.3,952,-200,735,-200,1601,1041,29.1,33.6,1.3314,0
8/17/2004,18:00:00,-200.0,925,-200,4.2,721,-200,969,-200,1317,484,36.1,20.7,1.2151,0
4/15/2004,6:00:00,-200.0,1105,-200,7.9,897,-200,906,-200,1510,1050,9.1,67.4,0.7814,0
9/17/2004,6:00:00,0.5,800,-200,2.2,598,84,1336,41,1278,529,19.8,56.7,1.2941,0
6/9/2004,4:00:00,0.5,817,-200,3.3,672,31,1113,51,1501,751,20.8,54.4,1.3229,0
5/24/2004,2:00:00,0.2,774,-200,1.0,500,13,1536,21,1169,352,15.8,45.2,0.8052,0
8/21/2004,22:00:00,-200.0,900,-200,5.2,773,-200,944,-200,1426,703,24.9,40.8,1.2696,0
4/5/2004,1:00:00,-200.0,969,-200,2.4,611,-200,1239,-200,1330,430,14.8,63.3,1.0584,0
4/27/2004,2:00:00,0.5,846,31,1.6,557,19,1385,32,1212,406,15.6,43.4,0.7651,0
1/22/2005,7:00:00,0.5,1322,-200,13.2,1091,574,565,193,1307,1471,5.6,80.4,0.7349,0
9/14/2004,22:00:00,-200.0,947,-200,3.6,689,-200,1009,-200,1454,640,20.6,78.8,1.8885,0
5/9/2004,19:00:00,-200.0,1132,-200,10.1,981,-200,850,-200,1614,877,16.4,47.8,0.8851,0
9/28/2004,3:00:00,0.4,741,-200,2.1,595,-200,1191,-200,1080,686,14.4,54.5,0.8887,0
6/15/2004,5:00:00,0.5,797,-200,3.0,654,38,1097,51,1450,720,20.8,49.4,1.1994,0
4/19/2004,1:00:00,-200.0,988,-200,4.2,722,-200,1029,-200,1500,874,14.1,70.1,1.1224,0
10/12/2004,22:00:00,-200.0,834,-200,4.1,716,-200,997,-200,1205,614,15.6,55.9,0.985,0
1/25/2005,5:00:00,-200.0,758,-200,0.2,388,20,1785,20,765,274,3.7,56.3,0.453,0
9/14/2004,3:00:00,-200.0,863,-200,3.9,703,-200,1032,-200,1403,791,20.8,62.1,1.5044,0
7/20/2004,18:00:00,-200.0,1209,-200,12.9,1082,143,685,133,1662,978,38.3,19.4,1.2851,0
1/24/2005,1:00:00,-200.0,1092,-200,6.0,811,191,773,121,1129,966,5.0,76.5,0.6728,0
4/14/2004,15:00:00,-200.0,1188,-200,12.9,1082,-200,790,-200,1653,1077,21.3,27.3,0.6856,0
10/2/2004,3:00:00,-200.0,968,-200,4.3,730,-200,858,-200,1388,913,21.3,61.0,1.529,0
7/26/2004,19:00:00,-200.0,1082,-200,14.5,1134,130,709,131,1763,1089,32.5,27.9,1.3373,0
4/21/2004,1:00:00,-200.0,1005,-200,5.8,802,-200,976,-200,1474,952,12.2,67.7,0.9625,0
8/22/2004,22:00:00,-200.0,922,-200,6.1,818,-200,826,-200,1454,848,25.7,38.5,1.2548,0
10/13/2004,7:00:00,-200.0,925,-200,5.8,800,-200,908,-200,1272,750,14.3,58.1,0.9404,0
10/18/2004,8:00:00,-200.0,1298,-200,26.8,1473,-200,514,-200,1884,1447,14.4,65.8,1.0773,0
6/13/2004,4:00:00,0.5,879,-200,3.1,658,25,1121,39,1511,564,24.4,48.3,1.4499,0
9/14/2004,12:00:00,-200.0,1228,-200,15.8,1174,-200,668,-200,1788,1192,32.3,35.9,1.7067,0
8/22/2004,20:00:00,-200.0,958,-200,8.0,900,-200,782,-200,1493,830,28.1,34.3,1.2821,0
2/22/2005,3:00:00,0.4,844,-200,0.6,454,-200,1327,-200,908,385,2.5,86.6,0.6407,0
7/20/2004,3:00:00,-200.0,930,-200,3.9,708,-200,924,-200,1440,1012,25.2,41.5,1.3106,0
8/4/2004,16:00:00,-200.0,1018,-200,7.6,881,-200,828,-200,1590,630,39.3,22.0,1.5366,0
12/30/2004,15:00:00,-200.0,844,-200,3.6,689,-200,1040,-200,867,545,12.1,31.1,0.4383,0
4/22/2004,5:00:00,-200.0,834,-200,2.2,596,-200,1276,-200,1335,727,13.4,59.5,0.9097,0
1/24/2005,1:00:00,-200.0,1092,-200,6.0,811,191,773,121,1129,966,5.0,76.5,0.6728,0
3/12/2004,4:00:00,-200.0,831,10,1.1,506,21,1893,32,1134,384,6.1,65.9,0.6248,0
11/3/2004,4:00:00,-200.0,836,-200,2.9,647,65,985,37,1271,777,16.4,74.4,1.3779,0
12/30/2004,13:00:00,-200.0,855,-200,4.6,741,-200,965,-200,901,616,12.5,30.3,0.4367,0
3/7/2005,6:00:00,0.5,862,-200,0.8,474,68,1312,59,753,310,5.2,54.5,0.486,0
8/3/2004,22:00:00,-200.0,1121,-200,10.3,989,108,659,97,1821,955,28.8,48.8,1.9039,0
4/12/2004,4:00:00,0.3,753,9,0.7,462,16,1822,25,955,274,13.9,30.9,0.4868,0
10/18/2004,22:00:00,-200.0,995,-200,8.0,898,-200,761,-200,1409,1023,17.5,63.5,1.2622,0
3/12/2005,2:00:00,0.4,1152,-200,4.9,759,234,706,147,1113,1094,10.0,57.3,0.7015,0
4/18/2004,2:00:00,-200.0,1024,-200,5.6,795,-200,982,-200,1501,705,15.6,60.2,1.0617,0
4/14/2004,19:00:00,-200.0,1234,-200,13.3,1095,-200,789,-200,1638,1212,17.9,35.8,0.7276,0
8/1/2004,6:00:00,0.4,872,-200,2.6,627,24,997,30,1530,670,23.3,62.0,1.7547,0
5/26/2004,20:00:00,-200.0,1123,-200,20.3,1304,-200,939,-200,1720,1290,25.0,24.4,0.7616,0
9/14/2004,7:00:00,-200.0,1540,-200,27.8,1498,-200,519,-200,2301,1657,22.0,58.3,1.5199,0
12/28/2004,7:00:00,-200.0,1088,-200,6.6,839,-200,760,-200,1236,951,9.7,73.1,0.8772,0
1/17/2005,5:00:00,0.5,795,-200,1.0,504,94,1258,79,840,682,2.6,58.6,0.4385,0
5/8/2004,22:00:00,-200.0,1070,-200,9.3,952,-200,858,-200,1573,966,13.8,58.3,0.9147,0
1/6/2005,4:00:00,-200.0,950,-200,2.5,622,89,960,67,1093,643,12.0,64.6,0.906,0
6/29/2004,2:00:00,0.4,891,-200,3.9,705,27,980,46,1534,806,27.3,41.6,1.4906,0
12/29/2004,13:00:00,-200.0,971,-200,5.5,786,-200,812,-200,1086,796,12.0,49.3,0.69,0
1/25/2005,3:00:00,-200.0,766,-200,0.3,412,-200,1651,-200,763,295,4.5,52.0,0.4436,0
10/3/2004,3:00:00,-200.0,944,-200,4.5,740,-200,881,-200,1412,781,20.3,64.6,1.518,0
6/3/2004,21:00:00,-200.0,951,-200,7.8,892,-200,1015,-200,1611,786,23.0,43.1,1.1993,0
7/20/2004,5:00:00,-200.0,981,-200,4.7,747,52,856,69,1493,1090,25.1,44.0,1.3794,0
9/11/2004,23:00:00,-200.0,1285,-200,12.4,1062,-200,715,-200,1583,1449,24.6,47.2,1.4424,0
10/19/2004,2:00:00,-200.0,951,-200,6.5,835,-200,788,-200,1354,887,14.1,76.7,1.2273,0
12/26/2004,4:00:00,0.5,900,-200,1.2,522,61,1242,55,1070,471,10.8,78.7,1.0202,0
8/22/2004,18:00:00,-200.0,879,-200,5.3,779,-200,999,-200,1347,535,34.6,20.0,1.0817,0
9/14/2004,20:00:00,-200.0,1071,-200,6.7,842,-200,873,-200,1575,740,20.3,77.2,1.8204,0
4/15/2004,0:00:00,-200.0,1036,-200,4.7,746,-200,1034,-200,1364,993,12.3,57.6,0.8223,0
4/22/2004,14:00:00,-200.0,1087,-200,12.2,1055,-200,908,-200,1562,818,28.0,21.0,0.7814,0
1/25/2005,1:00:00,-200.0,757,-200,0.6,459,49,1447,44,735,337,5.7,41.5,0.3836,0
5/28/2004,3:00:00,-200.0,810,-200,3.8,697,-200,1221,-200,1321,675,16.5,48.6,0.9028,0
8/22/2004,18:00:00,-200.0,879,-200,5.3,779,-200,999,-200,1347,535,34.6,20.0,1.0817,0
4/20/2004,19:00:00,-200.0,1426,-200,23.9,1400,-200,612,-200,2102,1488,19.9,45.0,1.0364,0
8/3/2004,4:00:00,-200.0,866,-200,2.3,603,48,1077,55,1459,589,25.8,50.9,1.6605,0
3/23/2004,6:00:00,0.5,909,26,1.8,567,33,1542,47,1287,418,9.6,75.4,0.9004,0
5/25/2004,18:00:00,-200.0,1321,-200,24.9,1426,-200,720,-200,1859,1395,29.7,12.2,0.5007,0
8/2/2004,23:00:00,0.1,1097,-200,9.4,956,58,708,93,1724,818,27.1,49.4,1.7398,0
6/2/2004,7:00:00,-200.0,890,-200,3.9,703,48,1145,33,1601,751,19.7,65.3,1.4843,0
7/28/2004,1:00:00,-200.0,860,-200,6.8,847,58,873,77,1426,748,23.6,31.9,0.9195,0
7/30/2004,18:00:00,-200.0,1137,-200,15.5,1165,121,649,137,1840,974,36.6,23.3,1.4042,0
3/20/2004,4:00:00,-200.0,945,-200,2.9,646,44,1308,55,1332,505,13.8,54.6,0.8574,0
8/6/2004,3:00:00,-200.0,912,-200,4.1,716,-200,875,-200,1586,898,21.7,73.2,1.8763,0
2/18/2005,6:00:00,0.5,904,-200,1.3,530,79,1079,60,846,438,6.4,50.2,0.485,0
10/12/2004,15:00:00,-200.0,946,-200,8.0,898,-200,816,-200,1377,827,18.4,51.6,1.0832,0
9/14/2004,3:00:00,-200.0,863,-200,3.9,703,-200,1032,-200,1403,791,20.8,62.1,1.5044,0
9/11/2004,2:00:00,-200.0,898,-200,4.2,720,-200,1059,-200,1259,661,23.2,41.2,1.1561,0
3/12/2005,2:00:00,0.4,1152,-200,4.9,759,234,706,147,1113,1094,10.0,57.3,0.7015,0
7/21/2004,15:00:00,-200.0,1109,-200,10.3,989,98,778,107,1537,819,42.0,14.2,1.1517,0
7/18/2004,7:00:00,0.4,939,-200,4.1,718,39,927,53,1395,826,21.3,45.5,1.1405,0
12/29/2004,15:00:00,-200.0,892,-200,4.1,719,-200,918,-200,1019,635,12.0,44.0,0.6169,0
7/19/2004,2:00:00,0.1,879,-200,2.8,642,33,1031,51,1343,740,26.6,33.0,1.1338,0
5/8/2004,12:00:00,-200.0,1213,-200,11.1,1018,-200,760,-200,1778,1061,13.3,76.8,1.1703,0
1/10/2005,5:00:00,-200.0,958,-200,1.8,571,64,998,54,1138,707,12.4,72.5,1.0411,0
7/11/2004,2:00:00,0.5,853,-200,4.1,716,37,994,51,1423,647,22.0,45.8,1.1965,0
6/3/2004,17:00:00,-200.0,1050,-200,16.6,1199,-200,849,-200,1781,1035,29.0,24.5,0.9655,0
5/8/2004,17:00:00,-200.0,918,-200,7.1,863,-200,992,-200,1408,539,19.8,33.6,0.767,0
8/21/2004,17:00:00,-200.0,830,-200,3.7,696,-200,1060,-200,1328,461,28.5,29.4,1.1298,0
10/20/2004,2:00:00,-200.0,1118,-200,9.3,951,-200,675,-200,1509,1124,19.4,70.1,1.5626,0
7/23/2004,4:00:00,0.5,912,-200,3.9,706,34,891,55,1500,1022,25.6,45.8,1.4801,0
4/3/2004,12:00:00,-200.0,1438,-200,13.4,1096,-200,781,-200,1779,1266,23.3,35.8,1.0098,0
5/27/2004,13:00:00,-200.0,1073,-200,12.1,1052,-200,1009,-200,1574,854,27.5,20.9,0.7565,0
2/22/2005,4:00:00,0.4,851,-200,0.5,440,46,1349,46,918,377,3.4,85.4,0.6736,0
12/31/2004,22:00:00,-200.0,1055,-200,5.6,791,-200,845,-200,936,1195,9.1,37.2,0.431,0
9/3/2004,11:00:00,-200.0,1232,-200,17.0,1210,-200,565,-200,1832,1478,34.5,28.5,1.5324,0
5/11/2004,2:00:00,0.2,787,-200,1.6,549,28,1366,43,1317,596,14.3,61.9,1.0031,0
8/3/2004,7:00:00,-200.0,1362,-200,19.3,1277,282,529,140,2188,1392,25.9,51.5,1.7,0
9/15/2004,10:00:00,-200.0,1363,-200,18.5,1255,-200,573,-200,1989,1497,23.7,64.5,1.8682,0
10/20/2004,13:00:00,-200.0,1640,-200,28.0,1503,-200,431,-200,2094,1894,24.7,56.9,1.7472,0
4/18/2004,18:00:00,-200.0,1154,-200,8.5,919,-200,876,-200,1623,861,17.5,54.2,1.0722,0
12/31/2004,17:00:00,-200.0,962,-200,7.6,883,-200,818,-200,996,896,11.4,30.8,0.4148,0
8/5/2004,13:00:00,-200.0,1038,-200,8.2,906,66,808,86,1567,747,38.3,24.5,1.622,0
1/25/2005,22:00:00,0.1,853,-200,2.4,616,113,1071,87,870,491,4.1,52.5,0.4351,0
5/25/2004,4:00:00,-200.0,742,-200,0.9,489,19,1559,30,1048,403,14.0,33.7,0.5355,0
6/2/2004,8:00:00,-200.0,984,-200,6.9,854,73,964,43,1751,885,20.8,62.0,1.5002,0
9/26/2004,4:00:00,-200.0,844,-200,5.5,786,130,969,61,1226,831,13.4,59.9,0.9173,0
8/5/2004,12:00:00,-200.0,1108,-200,10.2,985,98,727,108,1708,1001,36.8,27.2,1.6623,0
3/14/2005,2:00:00,0.3,1119,-200,5.3,778,192,705,123,1187,1096,9.9,68.9,0.8388,0
10/19/2004,1:00:00,-200.0,1022,-200,8.0,898,-200,746,-200,1414,955,14.9,74.7,1.2564,0
6/16/2004,5:00:00,0.5,810,-200,2.4,612,27,1163,34,1462,595,21.3,54.5,1.3682,0
9/11/2004,9:00:00,-200.0,1202,-200,10.3,989,-200,775,-200,1506,1303,24.0,40.8,1.1993,0
10/7/2004,3:00:00,-200.0,930,-200,3.1,660,-200,925,-200,1321,838,20.9,62.2,1.5182,0
10/3/2004,5:00:00,-200.0,906,-200,3.3,672,-200,948,-200,1377,742,20.1,65.3,1.5153,0
11/9/2004,2:00:00,-200.0,781,-200,2.9,645,-200,1088,-200,986,719,5.6,67.9,0.6247,0
5/6/2004,4:00:00,-200.0,758,-200,1.2,517,15,1625,22,1294,351,13.1,67.1,1.0079,0
7/23/2004,4:00:00,0.5,912,-200,3.9,706,34,891,55,1500,1022,25.6,45.8,1.4801,0
9/29/2004,5:00:00,0.4,769,-200,2.0,586,60,1221,45,1134,650,17.1,52.5,1.013,0
4/19/2004,21:00:00,-200.0,930,-200,4.6,745,-200,1085,-200,1391,712,10.8,68.2,0.8806,0
9/11/2004,5:00:00,-200.0,886,-200,3.1,658,-200,1101,-200,1234,647,20.5,48.4,1.1557,0
6/29/2004,4:00:00,-200.0,850,-200,2.8,639,35,1048,57,1519,853,24.8,48.0,1.4857,0
9/12/2004,3:00:00,-200.0,961,-200,4.9,759,-200,943,-200,1375,799,22.4,53.6,1.4379,0
6/2/2004,22:00:00,-200.0,1036,-200,8.7,928,89,914,59,1787,909,21.9,60.9,1.5799,0
1/25/2005,16:00:00,0.4,896,-200,3.6,689,211,966,121,909,614,5.1,50.1,0.4432,0
7/27/2004,10:00:00,-200.0,999,-200,9.3,953,143,780,109,1600,879,29.3,31.0,1.2445,0
2/28/2005,6:00:00,0.3,779,-200,0.2,402,34,1665,31,684,257,2.8,52.6,0.3972,0
5/29/2004,15:00:00,0.5,843,-200,4.2,719,61,1353,63,1330,501,22.9,30.7,0.8461,0
10/15/2004,7:00:00,-200.0,1359,-200,20.5,1311,-200,544,-200,1878,1311,14.8,80.4,1.3428,0
8/4/2004,20:00:00,-200.0,999,-200,7.2,867,-200,785,-200,1644,864,27.2,46.0,1.6376,0
6/2/2004,18:00:00,-200.0,1094,-200,10.5,996,76,876,53,1807,864,27.2,42.5,1.5135,0
3/12/2004,4:00:00,-200.0,831,10,1.1,506,21,1893,32,1134,384,6.1,65.9,0.6248,0
5/18/2004,5:00:00,0.5,903,-200,3.1,656,38,1155,37,1361,618,17.0,44.6,0.8593,0
6/3/2004,21:00:00,-200.0,951,-200,7.8,892,-200,1015,-200,1611,786,23.0,43.1,1.1993,0
10/6/2004,17:00:00,-200.0,1527,-200,24.6,1419,-200,476,-200,1966,1507,28.7,37.3,1.4486,0
11/22/2004,3:00:00,0.1,870,-200,3.5,684,-200,997,-200,895,936,3.7,56.3,0.4544,0
5/20/2004,3:00:00,0.3,885,-200,1.7,565,-200,1217,-200,1329,542,19.8,46.2,1.056,0
10/16/2004,7:00:00,-200.0,1029,-200,7.7,886,-200,807,-200,1446,926,15.0,74.8,1.2672,0
3/20/2004,4:00:00,-200.0,945,-200,2.9,646,44,1308,55,1332,505,13.8,54.6,0.8574,0
6/1/2004,2:00:00,-200.0,805,-200,2.0,583,18,1339,26,1494,527,18.0,76.4,1.5608,0
1/19/2005,15:00:00,0.2,918,-200,4.3,729,176,904,114,1014,639,9.4,53.6,0.6333,0
4/17/2004,13:00:00,-200.0,1066,-200,7.5,879,-200,939,-200,1536,740,19.3,47.1,1.0445,0
7/29/2004,6:00:00,-200.0,918,-200,7.1,860,74,807,72,1488,943,21.2,41.2,1.0246,0
1/23/2005,22:00:00,-200.0,1044,-200,3.5,685,141,903,104,1042,860,5.8,74.4,0.6924,0
3/29/2004,2:00:00,0.5,840,23,1.1,509,22,1643,38,1076,352,10.4,46.6,0.5901,0
2/3/2005,4:00:00,-200.0,926,-200,2.6,623,134,954,96,873,1011,2.0,60.8,0.4337,0
9/8/2004,11:00:00,-200.0,-200,-200,-200.0,-200,-200,-200,-200,-200,-200,-200.0,-200.0,-200.0,0
4/23/2004,0:00:00,-200.0,1119,-200,10.0,979,-200,873,-200,1593,1170,17.2,47.9,0.9334,0
1/24/2005,4:00:00,-200.0,831,-200,1.0,498,50,1237,48,855,443,5.8,59.5,0.5519,0
10/4/2004,12:00:00,-200.0,1381,-200,22.1,1355,-200,516,-200,1931,1583,25.8,44.7,1.459,0
10/3/2004,11:00:00,-200.0,1165,-200,8.4,916,-200,711,-200,1517,1093,25.7,46.6,1.5105,0
5/28/2004,4:00:00,-200.0,789,-200,2.8,638,-200,1305,-200,1309,672,15.2,53.6,0.919,0
5/8/2004,6:00:00,-200.0,871,-200,2.6,628,-200,1243,-200,1329,518,8.7,81.5,0.919,0
6/26/2004,5:00:00,0.4,769,-200,2.3,606,41,1171,58,1314,610,19.5,42.4,0.9515,0
4/26/2004,2:00:00,0.4,803,36,1.3,527,17,1513,25,1152,369,14.1,45.3,0.7247,0
1/15/2005,4:00:00,-200.0,978,-200,4.8,756,266,834,115,1015,878,2.4,86.6,0.6369,0
10/15/2004,13:00:00,-200.0,1282,-200,18.3,1247,-200,560,-200,1861,1258,20.5,61.5,1.4673,0
11/9/2004,6:00:00,-200.0,780,-200,3.2,666,-200,1099,-200,1003,697,3.2,76.8,0.5963,0
7/30/2004,6:00:00,-200.0,894,-200,4.9,761,36,862,48,1504,768,23.0,49.9,1.3849,0
9/11/2004,16:00:00,-200.0,1147,-200,9.5,959,-200,872,-200,1387,796,35.9,20.3,1.1845,0
3/12/2005,16:00:00,0.4,1096,-200,5.5,788,191,699,114,1115,583,17.6,35.5,0.7065,0
11/9/2004,4:00:00,-200.0,720,-200,1.4,540,-200,1296,-200,938,613,4.4,71.4,0.6024,0
10/18/2004,19:00:00,-200.0,1520,-200,32.3,1604,-200,436,-200,2161,1672,18.5,60.3,1.2706,0
6/7/2004,3:00:00,0.3,733,-200,2.0,588,-200,1281,-200,1394,589,18.6,52.7,1.1206,0
1/19/2005,7:00:00,0.1,909,-200,2.5,622,130,1046,89,992,730,5.6,69.5,0.6362,0
9/12/2004,19:00:00,-200.0,1363,-200,12.6,1071,-200,697,-200,1763,1178,25.7,55.8,1.8149,0
12/30/2004,20:00:00,-200.0,1078,-200,10.2,987,-200,718,-200,1152,1015,9.3,41.7,0.4884,0
1/23/2005,2:00:00,-200.0,1051,-200,7.6,883,241,783,150,978,1169,5.7,44.3,0.4093,0
3/24/2005,6:00:00,0.4,949,-200,2.3,607,105,884,74,1043,851,12.9,56.0,0.8292,0
10/16/2004,16:00:00,-200.0,995,-200,8.7,927,-200,825,-200,1320,718,22.0,35.7,0.9329,0
10/13/2004,12:00:00,-200.0,945,-200,7.7,886,-200,818,-200,1307,827,18.0,46.1,0.9401,0
11/21/2004,10:00:00,0.4,941,-200,6.4,832,234,914,125,970,964,7.2,42.8,0.4356,0
3/15/2005,5:00:00,0.4,923,-200,1.2,516,75,1049,59,1002,667,10.1,64.5,0.7968,0
9/28/2004,4:00:00,0.5,748,-200,2.2,595,107,1208,61,1089,677,12.8,59.8,0.8801,0
10/20/2004,7:00:00,-200.0,1522,-200,26.1,1457,-200,458,-200,2043,1611,18.8,73.0,1.5737,0
12/29/2004,13:00:00,-200.0,971,-200,5.5,786,-200,812,-200,1086,796,12.0,49.3,0.69,0
6/21/2004,5:00:00,0.5,809,-200,3.5,681,52,1108,43,1463,609,18.2,57.6,1.193,0
9/11/2004,10:00:00,-200.0,1323,-200,16.3,1190,-200,698,-200,1702,1479,28.7,30.3,1.1769,0
8/5/2004,13:00:00,-200.0,1038,-200,8.2,906,66,808,86,1567,747,38.3,24.5,1.622,0
12/30/2004,3:00:00,-200.0,796,-200,1.5,545,-200,1210,-200,853,450,9.3,44.0,0.5153,0
8/6/2004,1:00:00,-200.0,1030,-200,6.8,848,77,734,71,1691,1048,21.8,74.1,1.915,0
9/13/2004,4:00:00,-200.0,875,-200,4.0,713,-200,1027,-200,1436,809,19.4,73.4,1.6417,0
8/20/2004,2:00:00,-200.0,932,-200,4.2,720,-200,859,-200,1562,605,27.4,53.5,1.9267,0
5/1/2004,4:00:00,-200.0,882,-200,3.5,685,35,1134,42,1492,673,16.2,69.9,1.2756,0
3/11/2005,7:00:00,0.2,987,-200,4.5,738,233,833,117,957,1010,3.8,59.7,0.4839,0
8/20/2004,17:00:00,-200.0,989,-200,5.7,798,-200,840,-200,1607,584,34.5,34.7,1.8667,0
4/20/2004,9:00:00,-200.0,1365,-200,20.1,1299,-200,637,-200,1999,1514,14.5,60.4,0.9936,0
8/21/2004,17:00:00,-200.0,830,-200,3.7,696,-200,1060,-200,1328,461,28.5,29.4,1.1298,0
8/30/2004,19:00:00,-200.0,1077,-200,11.3,1025,-200,629,-200,1677,772,28.4,38.4,1.4616,0
8/17/2004,13:00:00,-200.0,978,-200,6.6,840,-200,852,-200,1422,694,38.5,18.0,1.2055,0
9/3/2004,10:00:00,-200.0,1311,-200,18.9,1267,-200,524,-200,1941,1662,31.4,34.5,1.5599,0
8/19/2004,3:00:00,0.4,834,-200,1.8,565,-200,1187,-200,1444,473,28.8,49.0,1.9112,0
5/30/2004,14:00:00,0.1,783,-200,2.8,637,41,1498,46,1215,439,29.8,18.4,0.7595,0
4/27/2004,4:00:00,-200.0,909,41,2.5,617,34,1236,49,1302,558,14.7,49.9,0.828,0
9/7/2004,22:00:00,-200.0,1055,-200,10.0,979,-200,694,-200,1517,1086,25.4,35.2,1.1288,0
9/11/2004,10:00:00,-200.0,1323,-200,16.3,1190,-200,698,-200,1702,1479,28.7,30.3,1.1769,0
4/17/2004,9:00:00,-200.0,1107,-200,7.2,864,-200,911,-200,1604,963,13.5,78.1,1.1997,0
4/21/2004,4:00:00,-200.0,804,-200,2.0,585,-200,1301,-200,1319,717,11.3,67.6,0.9038,0
9/2/2004,13:00:00,-200.0,1008,-200,11.6,1037,-200,697,-200,1587,803,33.7,25.1,1.2915,0
9/8/2004,5:00:00,-200.0,-200,-200,-200.0,-200,-200,-200,-200,-200,-200,-200.0,-200.0,-200.0,0
8/3/2004,23:00:00,-200.0,1150,-200,11.2,1020,132,645,111,1835,1063,28.0,49.0,1.8237,0
9/13/2004,5:00:00,-200.0,940,-200,5.5,789,-200,917,-200,1473,914,19.5,72.0,1.6118,0
3/14/2005,1:00:00,0.4,1128,-200,5.2,771,193,733,122,1178,923,11.7,62.1,0.8535,0
10/16/2004,22:00:00,-200.0,942,-200,4.0,712,-200,979,-200,1303,734,17.2,66.7,1.2987,0
5/8/2004,13:00:00,-200.0,1124,-200,9.2,949,-200,827,-200,1671,1008,16.2,60.0,1.0937,0
9/15/2004,14:00:00,-200.0,1265,-200,16.1,1184,-200,619,-200,1930,1270,24.2,65.6,1.9501,0
12/31/2004,9:00:00,-200.0,897,-200,3.1,656,-200,953,-200,964,641,8.9,44.1,0.5039,0
8/2/2004,5:00:00,0.4,910,-200,2.7,630,29,1061,35,1504,468,25.1,62.4,1.9602,0
5/18/2004,5:00:00,0.5,903,-200,3.1,656,38,1155,37,1361,618,17.0,44.6,0.8593,0
1/23/2005,15:00:00,-200.0,1138,-200,9.0,940,328,706,169,1088,1359,8.3,41.3,0.4533,0
9/17/2004,3:00:00,0.4,777,-200,2.0,585,-200,1305,-200,1266,510,20.0,59.1,1.3694,0
